date,beat,type
2015-04-04 20:40:17,18F40,Theft
2015-04-04 20:40:17,6B30,Theft
2015-04-04 20:40:17,14D10,Robbery
2015-04-04 20:40:17,5F20,Robbery
2015-04-04 20:40:17,2A20,Robbery
2015-04-04 20:40:17,16E30,Burglary
2015-04-04 20:40:17,13D20,Burglary
2015-04-04 20:40:17,8C10,Theft
2015-04-04 20:40:17,17E10,Aggravated Assault
2015-04-04 20:40:17,12D50,Aggravated Assault
2015-04-04 20:40:17,19G50,Aggravated Assault
2015-04-04 20:40:17,10H70,Theft
2015-04-04 20:40:17,3B10,Theft
2015-04-04 20:40:17,12D10,Auto Theft
2015-04-04 20:40:17,18F50,Robbery
2015-04-04 20:40:17,7C20,Robbery
2015-04-04 20:40:17,20G70,Theft
2015-04-04 20:40:17,17E20,Robbery
2015-04-04 20:40:17,1A30,Theft
2015-04-04 20:40:17,19G40,Theft
2015-04-04 20:40:17,16E20,Theft
2015-04-04 20:40:17,20G50,Theft
2015-04-04 20:40:17,14D20,Theft
2015-04-04 20:40:17,7C50,Theft
2015-04-04 20:40:17,6B40,Auto Theft
2015-04-04 20:40:17,6B20,Theft
2015-04-04 20:40:17,3B50,Aggravated Assault
2015-04-04 20:40:17,10H50,Aggravated Assault
2015-04-04 20:40:17,10H20,Aggravated Assault
2015-04-04 20:40:17,20G80,Theft
2015-04-04 20:40:17,15E40,Theft
2015-04-04 20:40:17,7C10,Aggravated Assault
2015-04-04 20:40:17,17E40,Robbery
2015-04-04 20:40:17,5F30,Theft
2015-04-04 20:40:17,14D50,Theft
2015-04-04 20:40:17,10H60,Theft
2015-04-04 20:40:17,5F40,Theft
2015-04-04 20:40:17,6B60,Auto Theft
2015-04-04 20:40:17,19G10,Theft
2015-04-04 20:40:17,10H80,Theft
2015-04-04 20:40:17,1A20,Auto Theft
2015-04-04 20:40:17,9C40,Auto Theft
2015-04-04 20:40:17,13D40,Auto Theft
2015-04-04 20:40:17,19G30,Theft
2015-04-04 20:40:17,10H40,Theft
2015-04-04 20:40:17,20G30,Theft
2015-04-04 20:40:17,12D40,Theft
2015-04-04 20:40:17,14D30,Theft
2015-04-04 20:40:17,16E10,Aggravated Assault
2015-04-04 20:40:17,8C30,Aggravated Assault
2015-04-04 20:40:17,17E30,Auto Theft
2015-04-04 20:40:17,12D70,Theft
2015-04-04 20:40:17,7C30,Theft
2015-04-04 20:40:17,3B40,Theft
2015-04-04 20:40:17,18F60,Theft
2015-04-04 20:40:17,6B10,Robbery
2015-04-04 20:40:17,18F30,Theft
2015-04-04 20:40:17,1A50,Theft
2015-04-04 20:40:17,4F30,Theft
2015-04-04 20:40:17,15E20,Theft
2015-04-04 20:40:17,1A10,Theft
2015-04-04 20:40:17,6B50,Theft
2015-04-04 20:40:17,2A10,Theft
2015-04-04 20:40:17,18F10,Theft
2015-04-04 20:40:17,13D10,Theft
2015-04-04 20:40:17,4F20,Theft
2015-04-04 20:40:17,20G10,Theft
2015-04-04 20:40:17,19G20,Theft
